Epoch,Training Loss,Validation Loss,Validation Accuracy
1,0.6945,0.6931,0.5000
2,0.6912,0.6905,0.5420
3,0.6861,0.6842,0.5850
4,0.6788,0.6750,0.6280
5,0.6695,0.6638,0.6710
6,0.6580,0.6500,0.7150
7,0.6447,0.6352,0.7480
8,0.6295,0.6187,0.7720
9,0.6123,0.6004,0.7920
10,0.5948,0.5820,0.8110
11,0.5785,0.5655,0.8250
12,0.5623,0.5498,0.8380
13,0.5477,0.5350,0.8460
14,0.5332,0.5214,0.8530
15,0.5198,0.5087,0.8590
16,0.5076,0.4971,0.8640
17,0.4957,0.4863,0.8690
18,0.4844,0.4764,0.8730
19,0.4735,0.4671,0.8770
20,0.4630,0.4583,0.8800
21,0.4534,0.4504,0.8830
22,0.4440,0.4428,0.8860
23,0.4353,0.4359,0.8890
24,0.4271,0.4292,0.8910
25,0.4190,0.4230,0.8930
26,0.4114,0.4171,0.8950
27,0.4040,0.4117,0.8970
28,0.3970,0.4066,0.8990
29,0.3903,0.4018,0.9010
30,0.3837,0.3972,0.9030
31,0.3777,0.3930,0.9050
32,0.3720,0.3888,0.9060
33,0.3665,0.3849,0.9080
34,0.3613,0.3812,0.9090
35,0.3563,0.3777,0.9100
36,0.3518,0.3745,0.9110
37,0.3475,0.3715,0.9120
38,0.3435,0.3687,0.9130
39,0.3397,0.3660,0.9140
40,0.3361,0.3635,0.9150
41,0.3329,0.3612,0.9160
42,0.3298,0.3590,0.9170
43,0.3270,0.3570,0.9180
44,0.3244,0.3551,0.9190
45,0.3220,0.3534,0.9195
46,0.3198,0.3518,0.9200
47,0.3178,0.3503,0.9205
48,0.3160,0.3489,0.9210
49,0.3144,0.3476,0.9210
50,0.3128,0.3463,0.9210
